,iter,BBQ,QuEST
0,0,1.9999996423721316,1.9039138555526731
4,200,1.9999996423721316,1.903846383094788
8,400,1.9999970197677608,1.903762459754944
12,600,1.999990463256836,1.9036790132522583
16,800,1.9999746084213257,1.9035462141036987
20,1000,1.9999473094940183,1.9033631086349487
24,1200,1.9998984336853027,1.903169631958008
28,1400,1.9998186826705933,1.9029756784439087
32,1600,1.9996875524520876,1.9027355909347532
36,1800,1.999477505683899,1.902523636817932
40,2000,1.9991469383239744,1.9023553133010864
44,2200,1.998654842376709,1.9023247957229612
48,2400,1.9979714155197144,1.902425527572632
52,2600,1.9970611333847048,1.9026072025299072
56,2800,1.9958727359771729,1.9031823873519895
60,3000,1.9943259954452517,1.903991460800171
64,3200,1.9924017190933228,1.905264973640442
68,3400,1.9900991916656492,1.906669020652771
72,3600,1.987544536590576,1.908311128616333
76,3800,1.9848061800003047,1.9097683429718015
80,4000,1.9819916486740112,1.911245346069336
84,4200,1.9791978597640991,1.9126125574111936
88,4400,1.976515769958496,1.9140371084213257
92,4600,1.9739774465560915,1.9152398109436035
96,4800,1.971556663513184,1.916198968887329
100,5000,1.969273328781128,1.9170626401901243
104,5200,1.967143177986145,1.9178450107574463
108,5400,1.9650282859802248,1.918688416481018
112,5600,1.963011145591736,1.9194958209991453
116,5800,1.9610464572906492,1.920274257659912
120,6000,1.959138035774231,1.920891046524048
124,6200,1.9572656154632568,1.9215022325515747
128,6400,1.9555087089538572,1.9220333099365237
132,6600,1.9537514448165891,1.9225324392318728
136,6800,1.9521061182022093,1.9229671955108645
140,7000,1.950533509254456,1.9234790802001955
144,7200,1.949068903923035,1.9238944053649905
148,7400,1.9477615356445312,1.924239158630371
152,7600,1.9465240240097048,1.9245859384536743
156,7800,1.9454091787338257,1.924898147583008
160,8000,1.9443933963775637,1.925160527229309
164,8200,1.943534255027771,1.9254190921783447
168,8400,1.9427114725112915,1.9256829023361208
172,8600,1.942027449607849,1.9258962869644165
176,8800,1.9413970708847048,1.9260249137878416
180,9000,1.940825581550598,1.926198124885559
184,9200,1.9403146505355835,1.9263290166854856
188,9400,1.93985378742218,1.9265002012252808
192,9600,1.9394503831863403,1.9266440868377688
196,9800,1.9390733242034912,1.9268112182617188
200,10000,1.9387937784194944,1.9269371032714844
204,10200,1.9385111331939695,1.9269782304763796
208,10400,1.9382795095443728,1.9270886182785036
